track,artist,release_date,repeated
Mamnoonam,Reza Sadeghi,2007,9
Homecoming,Kanye West,2007-09-11,9
Memories,Conan Gray,2022-06-24,9
Seduction,Eminem,2010-06-18,9
"Symphony No. 3, Op. 36: II. Lento e Largo - Tranquillissimo",Henryk Górecki,1992-03-09,9
Monmartre,Serouj,2019-01-29,9
Supposing,Infinity Ripple,2019-12-06,9
"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",Antonio Vivaldi,2018-10-26,9
VAULTS,BRONSON,2020-08-07,9
Gnossiennes No. 1 - Arr. David le Page,Orchestra of the Swan,2021-01-22,9
Due Tramonti - Remastered 2020,Ludovico Einaudi,2023-03-09,9
Green Mountain Road,Adam Torres,2017-02-24,9
Infinityplusone,15.,2020-12-18,9
"Row, Row, Row Your Boat",Sophie Sunshine,2022-07-17,9
Baby Where You Are,Mountain Man,2018-09-21,9
"Comptine d'un autre été, l'après-midi",Yann Tiersen,2001-04-23,9
Dance with Me,CORBAL,2018-05-14,9
When We Beat The Odds,Willow J. Wilson,2021-03-31,9
Adagio (Var. 1990),Eleni Karaindrou,1991-09-01,9
Adagio in G Minor (Arr. for Harp and Orchestra),Tomaso Albinoni,2012-03-09,9
Why Worry,Set It Off,2014-10-14,9
When I'm Gone,3 Doors Down,2002-11-12,9
Waves Know Shores,The Vernon Spring,2020-02-14,9
Barber: Adagio for Strings,Samuel Barber,2010-01-18,9
La Mer,Chantal Chamberland,2008-01-01,8
Man Mast,Mohsen Namjoo,2014-05-28,8
Look Inside Yourself,Edvard Kravchuk,2020-03-16,8
"Rigoletto, Act III: La donna è mobile",Giuseppe Verdi,2020-03-06,8
Klangfall - Piano Version,Joep Beving,2020-01-17,8
La vie en rose - Single Version,Louis Armstrong,1994-01-01,8
"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,1997-06-27,8
May It Be,Enya,2009-12-01,8
Thoughts Of Home,Eloy,1975,8
Imagine - Remastered 2010,John Lennon,1971-09-09,8
"Torn Apart, Pt II (Bastille Vs. GRADES Vs. Lizzo)",Bastille,2014-12-01,8
Chi Mai - Live,Ennio Morricone,2016-11-11,8
"Dark eyes ('Ochi chornye,' 'Black Eyes'), folk song",Giovanni,2012-01-01,8
Children Of The Dawn - Imperatorz Remix,E-Force,2023-02-02,8
Stuff We Did,Michael Giacchino,2009-01-01,8
Momentum,Lofi Fruits Music,2022-06-17,8
Soporific Breath,Mindful Measures,2023-03-15,8
Adagio in G Minor (Arr. for Harp and Orchestra),Tomaso Albinoni,2012-03-09,8
Someone You Loved,Lewis Capaldi,2019-05-17,8
Rosa's Song (1982),Eleni Karaindrou,1991-09-01,8
Mitra’s Theme - Walking in Tehran,Eleni Karaindrou,2019-01-25,8
Spring Rain,Deszcz,2021-02-23,8
Death Is the Road to Awe (feat. Kronos Quartet),Clint Mansell,2006-11-10,8
Our Love Is Here To Stay,Natalie Cole,1991-06-11,8
On Earth As It Is In Heaven,Ennio Morricone,1986,8
Hasretinle Yandı Gönlüm,Edip Akbayram,2003-10-08,7
Tsirani Tsar,Tigran Hamasyan,2016-09-02,7
Internal Flight (Remastered),Estas Tonne,2018-03-21,7
O Mio Babbino Caro,Bae Bee,2021-03-17,7
Ravayat-E Ma,Ehsan Matoori,2019-04-27,7
Che Bashad,Mohsen Namjoo,2020-03-04,7
Trampoline - Acoustic,Highland Peak,2019-11-22,7
Nuvole Bianche,Ludovico Einaudi,2023-03-16,7
Stationary Traveler,brz,2023-03-06,7
In The Androgynous Dark,Brambles,2012-10-22,7
"Carnaval de Paris - 12"" Mix",Dario G,1998-05-18,7
It's Happening Again - Instrumental,Agnes Obel,2016-11-18,7
Bird's Teardrops,Estas Tonne,2019-03-05,7
Matches - Day 1,Ludovico Einaudi,2019-03-15,7
L'enfance,Zbigniew Preisner,1991,7
Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt,1999-10-15,7
All Gone (No Escape),Gustavo Santaolalla,2013-06-07,7
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,2007-09-25,7
Opus 37,Dustin O'Halloran,2004-09-13,7
Anchor,Novo Amor,2017-05-26,7
"Lake Song - From ""The Seagull""",Eleni Karaindrou,2015-12-08,7
"The Last Man In My Life - From ""Song And Dance""",Orlando Pops Orchestra,2023-03-17,7
Perfect,Ed Sheeran,2017-03-03,7
Tears in Heaven - Acoustic Live,Eric Clapton,1992-08-25,7
when the party's over,Billie Eilish,2019-03-29,7
"O, Field, My Field (Polyushko pole)",Lev Knipper,1996-02-16,7
Sarà Perché Ti Amo (Sped Up) - Remix,Xanemusic,2023-03-06,7
"Don Giovanni, ossia Il dissoluto punito, K.527 / Act 1: ""Là ci darem la mano""",Wolfgang Amadeus Mozart,2012-01-01,7
Eternal Sunshine of the Spotless Mind Theme - Piano Version,Ams,2019-04-06,7
Ey Eshgh,Dariush,2004-10-18,7
Ripples (Echoes),Harbours & Oceans,2020-02-14,7
"Die Zauberflöte, K. 620, Act II: No. 14, Der Hölle Rache ""Queen of the Night Aria""",Wolfgang Amadeus Mozart,2023-03-17,7
"Fauré: Pavane, Op. 50",Gabriel Fauré,2014-11-11,6
My Soul Is Lemonade,Kai Straw,2021-05-28,6
Leave Me No Light,April Rain,2015-09-30,6
Father And Son,Yusuf / Cat Stevens,1970-11-23,6
Balett,Charles Weathersby,2020-05-29,6
Awakening,2Time,2022-08-30,6
When Orange is the Sky,Fabrizio Paterlini,2020-06-05,6
You & I,One Direction,2013-11-25,6
Zona Rosa,Caoimhín Ó Raghallaigh,2019-09-13,6
Szundikál,Mayer Julcsa,2019-12-13,6
Dadim Raft Toro,Behzad Leito,2015-01-14,6
"Nocturne in C-Sharp Minor, B. 49",Frédéric Chopin,2023-03-15,6
Song For Saul,They Dream By Day,2019-03-01,6
Veronique The Doll,Misha Segal,2022-09-12,6
Starships,Nicki Minaj,2011-01-01,6
Caruso,Lucio Dalla,2023-03-16,6
Désabusé,Joaqin Trudet,2018-05-07,6
Donyaye In Roozaye Man,Dariush,2010-06-01,6
Ranada,YoungBoy Never Broke Again,2019-10-11,6
A Thousand Years,Christina Perri,2011-10-18,6
Whitby,Stephan Moccio,2020-05-01,6
The Choice Is Yours (Revisited),Black Sheep,1991-01-01,6
Distant Glow,Rannar Sillard,2019-09-06,6
Amethyst,Spirit Minds,2022-09-12,6
Nueva Palmira,Slowdonia,2019-07-26,5
Thème: 1ère transcription,Zbigniew Preisner,1991,5
From Here We Can See,Rannar Sillard,2019-09-06,5
The Truman Show: Truman Sleeps - Short Version,Philip Glass,2015-02-23,5
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,1995-04-10,5
And We Will Shine,Dirk Maassen,2014-06-22,5
Reconciliation Theme - Var.,Eleni Karaindrou,2019-01-25,5
Fracture,Stephan Moccio,2020-04-17,5
How to Be Invisible,Thrupence,2019-05-03,5
Saghi Nameh Storyteller,Art Tawanghar,2022-01-28,5
"Sicilienne, Op. 78",Gabriel Fauré,2012-04-03,4
The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964-10-19,4
Katyusha,The Red Army Choir,2020-05-22,4
Mia Fora Thymamai,Stereomatic,2008-01-02,4
Eternity And A Day: 2. By The Sea,Eleni Karaindrou,1998-12-01,4
Merry-Go-Round of Life - from 'Howl's Moving Castle',Joe Hisaishi,2005-01-26,4
"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt,2011-08-22,4
"Turandot, SC 91, Act III: Nessun dorma!",Giacomo Puccini,1973-01-01,4
"Concerto grosso in B-Flat Major, Op. 6 No. 7, HWV 325: I. Largo",George Frideric Handel,2020-01-17,4
Little's Theme,Nicholas Britell,2016-10-21,4
Written On The Sky,Max Richter,2023-03-17,4
Passionfruit,Drake,2017-03-18,4
Together We Will Live Forever,Clint Mansell,2006-11-10,4
Tasnif–e Mobtalâ (feat. Hasan Yusefzamani),Mohammad-Reza Shajarian,1977-08-18,4
Canto nascosto,Enrico Pieranunzi,2000-01-01,4
We Are The World - Live,Michael Jackson,2020-04-04,4
In The Androgynous Dark,Brambles,2012-10-22,4
Tears in Heaven - Acoustic Live,Eric Clapton,1992-08-25,3
"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",Franz Liszt,1992-01-01,3
7 Peces de joventut (Youthful Pieces): Record,Manuel Blancafort,2003-08-01,3
Petal One,Areni Agbabian,2019-04-26,3
At Home,Slow Pulp,2018-06-05,3
Armstrong Cabin,Justin Hurwitz,2018-10-12,3
The Departure,Max Richter,2023-03-16,3
Love Theme,Lucie Jean,2022-01-21,3
Solid (feat. Drake),Young Stoner Life,2021-04-16,3
"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,2002,3
"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,2018-07-27,3
Sonata No. 42 in D Minor (Arr. Ólafsson),Domenico Cimarosa,2021-09-03,3
Pärt: Spiegel im Spiegel,Arvo Pärt,2021-09-10,3
Time To Say Goodbye (Con Te Partirò),Vampire Weekend,2014-01-01,3
Sarnevesht,Imanemun,2019-08-27,3
Norrsken,Lo Enemark,2022-02-23,3
Nostalgia Song - Live,Eleni Karaindrou,2013-01-25,3
Dadim Raft Toro,Behzad Leito,2015-01-14,3
Remove The Complexities,Peter Sandberg,2016-06-17,3
Tokka,Agnes Obel,2013-09-30,3
Opening Sequence,TOMORROW X TOGETHER,2022-05-09,3
Betty et Zorg,Gabriel Yared,2006-05-09,3
"Lyric Pieces, Book 1, Op. 12: I. Arietta",Edvard Grieg,2015-05-18,2
När trollmor har lagt sina elva små troll,Melody Spencer,2023-02-03,2
Nocturne Op. 9 No. 2,Frédéric Chopin,2015-01-21,2
"Pavane, Op. 50 (arr. H. Busser for cello and piano)",Gabriel Fauré,2010-02-23,2
"Arcadiana, Op. 12: VI. O Albion",Thomas Adès,2016-04-15,2
Watching You In The Morning,Waltzin,2020-10-16,2
Ferme Les Yeux,Sylvain Chauveau,2004-04-15,2
Vladimir's Blues,Max Richter,2023-03-16,2
Malinconico Pierrot in C-Sharp Minor,Claudio Gizzi,2014,2
Old Enough To Understand,Benjamin Sem,2022-06-30,2
Odchodząc - Remastered 2021,Grzegorz Ciechowski,2021-12-03,2
Notes II,Eleni Karaindrou,2009-02-06,2
سرود آزادی,Ethnic Musicians,2022-10-31,2
Baraye,Shervin Hajipour,2022-09-27,2
Vivaldi: The New Four Seasons: Summer: 6 Destiny,Nigel Kennedy,2015-10-09,2
Fjærland,Erica Statværd,2023-01-27,2
Hamgonah,Sogand,2020-12-24,2
Alaska,Maggie Rogers,2019-01-18,2
"Nocturne No. 1 In B Flat Minor, Op. 9 No. 1",Frédéric Chopin,2023-03-16,2
On the Nature of Daylight,Max Richter,2018-05-11,2
Fairy Fountain,Super Guitar Bros,2018-02-22,2
A Sky On Fire,Isora Hill,2023-01-27,2
Fallen Down,Toby Fox,2015-09-15,2
"Famous Blue Raincoat (Arr. Metcalfe, Foster)",Miloš Karadaglić,2019-09-13,2
Son Of A Sinner,Jelly Roll,2021-09-17,2
A Model of the Universe,Jóhann Jóhannsson,2014-11-04,2
Anfractuous View,Tomasz Kraal,2022-06-03,2
Mia & Sebastian’s Theme,Justin Hurwitz,2016-12-09,2
Mia & Sebastian's Theme x Je Te Laisserai Des Mots,Miamariel,2014-04-08,2
"Sonata concertata in A Major, Op. 61, MS 2: III. Rondeu - Allegretto con brio scherzando",Niccolò Paganini,1994-05-27,2
ONCE UPON A TIME (FREESTYLE),IDK,2018-11-09,2
Ménuet Belmonte,Flavio Apicella,2023-01-13,2
"Sonata for Violin and Guitar in A Minor, Op. 2, No. 6, MS 26: Tempo di Walzer",Niccolò Paganini,1994-05-27,2
A Minor Waltz,Pianopassion,2021-03-19,2
Antar (After N. Rimsky-Korsakov): No. 7. Ravel: Allegretto,Maurice Ravel,2017-04-14,2
Walk to School,Philip Glass,2020-04-03,2
"Montero: Adagio (After Bach's Violin Concerto No. 2, BWV 1042)",Johann Sebastian Bach,2006-05-01,2
"Six Pieces, Op. 51, TH 143: VI. Valse sentimentale. Tempo di Valse",Pyotr Ilyich Tchaikovsky,2019-10-18,2
Silenzio d'amuri,Alfio Antico,2001,2
Dreamscape,Austin Farwell,2021-01-17,2
For Stormboy,Rhiannon Bannenberg,2015-07-28,2
Reflections,The Neighbourhood,2018-11-02,2
"16 Waltzes, Op. 39 (1867 version): No. 3 in G-Sharp Minor",Johannes Brahms,1995-12-31,2
Je te laisserai des mots,Patrick Watson,2010-09-10,2
"Prélude in E minor, Op. 28, No. 4",Frédéric Chopin,1995,2
Birthday Piano Theme,Victor Butzelaar,2017-03-31,2
Kennedy / Bawol / Kukurba / Lato: Time 4 Time,Jerzy Bawol,2003-06-02,2
"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",Johann Sebastian Bach,2023-03-16,2
Serra Gelada,Giovanni Renzo,2020-01-15,2
"Prelude In C Minor, BWV 999 : Prelude In C Minor, BWV 999",Janos Sebestyen,1993-02-10,2
The Trianon,Joshua Kyan Aalampour,2022-09-23,2
Lost Time,Javi Lobe,2021-04-02,2
The Tree,Ludovico Einaudi,2023-01-06,2
